2015-10-06 13:07:38,483 [Worker-30] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.enclaveit.brea:breaWebapp:1.0-SNAPSHOT @ /home/ha/Documents/JavaEE/newworkspace/BreaProj/Brea/Development/source/BreaProjects/breaWebapp/pom.xml.
2015-10-06 13:07:46,003 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ha/Documents/JavaEE/newworkspace/BreaProj/Brea/Development/source/BreaProjects/breaWebapp/src/test/resources
2015-10-06 13:07:54,540 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-reporting-engine:pentaho-reporting-engine-classic-core:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:54,547 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:libbase:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:54,548 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:libdocbundle:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:54,549 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:libfonts:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:54,555 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:libformat:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:54,556 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:libformula:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:54,558 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:libloader:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:54,559 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:librepository:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:54,560 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:libserializer:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:54,562 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:libxml:jar:5.3.0.0-200 is missing, no dependency information available
2015-10-06 13:07:54,564 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:libswing:jar:5.3.0.0-180 is missing, no dependency information available
2015-10-06 13:07:54,570 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:flute:jar:5.3.0.0-190 is missing, no dependency information available
